id;tipocat;clave;descripcion
1;JSON National;interactive capacitor;Idaho Grocery
2;Concrete Towels Avon;Automotive frame;Indiana deposit Electronics
3;Bedfordshire Strategist;Towels applications;Zimbabwe
4;Bedfordshire;application scale;indigo National
5;Expressway;Tools Street;Arkansas reciprocal
6;Mountain Malaysia supply-chains;Borders hack;Pants
7;Tasty navigate didactic;payment schemas Industrial;calculating
8;withdrawal Toys white;olive;Kids Incredible
9;Florida THX Idaho;Licensed Visionary pixel;neural Markets Branding
10;maroon;superstructure;Kids
