id;nombre;descripcion;periodo;concluyo;clavedoc;documento
1;optical;installation;Argentine Peso;true;neural-net red;Buckinghamshire Future-proofed deposit
2;Quality;synthesize Creative;Forint;true;azure;SMS Enhanced
3;Bacon Designer;Equatorial Guinea Vision-oriented;Agent;true;THX pink even-keeled;bus Internal AI
4;THX bypassing Marketing;Dynamic Home Loan Account Tools;Branding;true;clear-thinking;Latvia
5;Ports Manager Fish;Networked;Fish;false;program alarm;Nevada
6;Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;false;dot-com payment Libyan Dinar;white sensor local
7;calculate;Chips;Villages uniform PCI;true;Factors;architectures
8;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;false;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire
9;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;false;Auto Loan Account olive;Yen
10;Unbranded Fresh Pants Tools California;North Dakota Garden;Towels Specialist;true;TCP Assimilated;compressing
