id;dia;hinicio;hfin
1;Granite Corporate Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna
2;calculating yellow;Wooden;Future
3;pixel Phased payment;Towels Internal;seize generate
4;Fantastic Wooden Chips microchip;Generic;Business-focused generate grid-enabled
5;International card;West Virginia Keys;Factors Soft
6;black Beauty;Soap;Refined Granite Sausages Savings Account extensible
7;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed
8;auxiliary;Engineer Toys Fantastic;Licensed
9;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan;input invoice calculate
10;Philippine Peso parsing Triple-buffered;deposit Rand Namibia Dollar;Branding
