id;clave;descripcion
1;calculate Fantastic Concrete Computer Baby;Kyrgyz Republic transmit
2;solution connecting;California PNG engage
3;Burg;transmit Credit Card Account
4;digital Corporate Checking Account;seamless New York mesh
5;Unbranded array;Berkshire solid state
6;middleware Switzerland;Data Granite Configuration
7;compress Practical Steel Chips;Berkshire concept
8;Illinois robust;Granite Rubber
9;enable;deposit Chicken best-of-breed
10;RSS Buckinghamshire Officer;teal Licensed Wooden Pants
