id;nombre;descripcion;fecini;fechafin
1;Brand;neutral Salad;2019-08-28;2019-08-29
2;modular Refined Squares;maroon;2019-08-28;2019-08-28
3;projection Fresh;support Gorgeous;2019-08-29;2019-08-29
4;Jewelery cutting-edge;Games;2019-08-29;2019-08-29
5;Bedfordshire Bahamian Dollar;24/7;2019-08-28;2019-08-29
6;sky blue;Kenyan Shilling robust;2019-08-28;2019-08-29
7;Exclusive Moroccan Dirham card;zero tolerance;2019-08-29;2019-08-29
8;Analyst paradigms;encompassing;2019-08-28;2019-08-29
9;Canadian Dollar;Berkshire Designer;2019-08-29;2019-08-29
10;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;2019-08-29;2019-08-28
